sexo;cargo;estado;regiao;identificacaoCurso;anoCurso;seqAnoCurso;categoriaCurso;idadeAluno;anosExercicio;situacaoAluno
M;4;7;3;48;2022;1;4;46;19;APROVADO
M;4;7;3;48;2022;1;4;43;19;APROVADO
M;4;20;2;48;2022;1;4;38;8;APROVADO
M;4;6;2;48;2022;1;4;46;20;APROVADO
F;4;17;2;48;2022;1;4;42;15;REPROVADO
M;4;21;1;48;2022;1;4;31;;REPROVADO
M;4;18;5;48;2022;1;4;40;9;REPROVADO
M;4;7;3;48;2022;1;4;36;;APROVADO
M;6;1;1;48;2022;1;4;39;8;APROVADO
M;6;7;3;48;2022;1;4;46;15;APROVADO
M;6;2;2;48;2022;1;4;45;15;APROVADO
M;6;4;1;48;2022;1;4;38;;APROVADO
M;6;7;3;48;2022;1;4;56;18;REPROVADO
M;6;8;4;48;2022;1;4;55;19;APROVADO
M;6;7;3;48;2022;1;4;43;15;APROVADO
M;6;11;4;48;2022;1;4;44;13;APROVADO
M;6;11;4;48;2022;1;4;48;15;APROVADO
M;6;15;2;48;2022;1;4;44;19;APROVADO
M;6;17;2;48;2022;1;4;51;14;APROVADO
M;6;18;5;48;2022;1;4;47;16;APROVADO
M;6;18;5;48;2022;1;4;44;15;APROVADO
M;6;7;3;48;2022;1;4;50;17;APROVADO
M;6;7;3;48;2022;1;4;51;20;REPROVADO
M;6;21;1;48;2022;1;4;48;13;APROVADO
M;6;7;3;48;2022;1;4;47;15;APROVADO
M;6;7;3;48;2022;1;4;48;15;APROVADO
M;6;24;5;48;2022;1;4;50;23;APROVADO
F;6;27;1;48;2022;1;4;37;8;APROVADO
F;6;7;3;48;2022;1;4;48;20;APROVADO
M;6;7;3;48;2022;1;4;53;20;APROVADO
M;6;7;3;48;2022;1;4;45;18;APROVADO
F;6;7;3;48;2022;1;4;52;14;APROVADO
M;6;7;3;48;2022;1;4;41;15;APROVADO
M;6;7;3;48;2022;1;4;43;16;APROVADO
M;6;7;3;48;2022;1;4;43;16;APROVADO
M;6;7;3;48;2022;1;4;55;26;REPROVADO
M;1;7;3;48;2022;1;4;41;18;REPROVADO
F;3;7;3;104;2022;1;4;47;18;REPROVADO
